Simulation 17,
Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,7,7,0,1,2,6,0,38,0,0.4444444,
18,15,17,0,0,6,6,38,336,1,1.10866,
17,15,51,0,1,6,6,336,742,1,1.195338,
16,7,8,0,1,2,6,742,818,0,0.3653559,
15,15,15,0,1,6,6,818,969,1,1.562779,
14,15,18,0,0,6,6,969,1232,1,1.74283,
13,13,17,0,2,5,6,1232,1523,0,0.4309005,
12,6,12,0,1,3,6,1523,1613,0,0.3147345,
11,15,17,0,2,6,6,1613,1858,1,1.544714,
10,12,14,0,1,5,6,1858,2019,0,0.5185578,
9,7,9,0,1,3,6,2019,2084,0,0.4126413,
8,15,15,0,2,6,6,2084,2480,1,1.560215,
7,5,5,0,0,1,6,2480,2523,0,0.7099133,
6,15,16,0,1,6,6,2523,2850,1,1.571733,
5,8,12,0,1,3,6,2850,3033,0,0.3654248,
4,15,20,0,2,6,6,3033,3532,1,1.50092,
3,7,8,0,0,2,6,3532,3582,0,0.725836,
2,15,18,0,3,6,6,3582,3969,1,1.551524,
1,10,11,0,0,3,6,3969,4066,0,0.783873,
0,15,16,0,0,6,6,4066,4331,1,1.919255,
